District,Year,Quarter,GW_Depth_mbgl,Quarterly_Rainfall_Sum_mm,StageExtraction(%),GW_Lag1,GW_Lag2,GW_Lag4,Rain_Rolling_Sum_2Q,Rain_Rolling_Sum_4Q,Rain_Anomaly,Quarter_Sin,Quarter_Cos
Amravati,2001,1,7.2149999440000006,24.3,60.1,6.29200001365,4.3640000059999995,5.06749997135,32.8,772.9,-239.49880952380948,1.0,6.123233995736766e-17
Amravati,2001,2,8.469230688461538,254.29999999999998,60.1,7.2149999440000006,6.29200001365,7.3120000125,278.59999999999997,753.8,-9.498809523809513,1.2246467991473532e-16,-1.0
Amravati,2001,3,5.2450000686500005,464.5,60.1,8.469230688461538,7.2149999440000006,4.3640000059999995,718.8,751.5999999999999,200.7011904761905,-1.0,-1.8369701987210297e-16
Amravati,2001,4,6.005263090263158,167.7,60.1,5.2450000686500005,8.469230688461538,6.29200001365,632.2,910.8,-96.0988095238095,-2.4492935982947064e-16,1.0
Amravati,2002,1,7.395555549055555,11.600000000000001,60.1,6.005263090263158,5.2450000686500005,7.2149999440000006,179.29999999999998,898.1,-252.1988095238095,1.0,6.123233995736766e-17
Amravati,2002,2,8.21894729763158,314.1,60.1,7.395555549055555,6.005263090263158,8.469230688461538,325.70000000000005,957.9,50.30119047619053,1.2246467991473532e-16,-1.0
Amravati,2002,3,5.7049999672,723.7,60.1,8.21894729763158,7.395555549055555,5.2450000686500005,1037.8000000000002,1217.1,459.90119047619055,-1.0,-1.8369701987210297e-16
Amravati,2002,4,5.710000011722222,60.4,60.1,5.7049999672,8.21894729763158,6.005263090263158,784.1,1109.8,-203.3988095238095,-2.4492935982947064e-16,1.0
Amravati,2003,1,6.691999969149999,10.9,60.1,5.710000011722222,5.7049999672,7.395555549055555,71.3,1109.1000000000001,-252.8988095238095,1.0,6.123233995736766e-17
Amravati,2003,2,8.238947353736842,133.5,60.1,6.691999969149999,5.710000011722222,8.21894729763158,144.4,928.5,-130.2988095238095,1.2246467991473532e-16,-1.0
Amravati,2003,3,6.10750009405,812.7,60.1,8.238947353736842,6.691999969149999,5.7049999672,946.2,1017.5,548.9011904761905,-1.0,-1.8369701987210297e-16
Amravati,2003,4,5.855789533052632,15.2,60.1,6.10750009405,8.238947353736842,5.710000011722222,827.9000000000001,972.3000000000001,-248.5988095238095,-2.4492935982947064e-16,1.0
Amravati,2004,1,6.71949997535,12.5,60.1,5.855789533052632,6.10750009405,6.691999969149999,27.7,973.9000000000001,-251.2988095238095,1.0,6.123233995736766e-17
Amravati,2004,2,8.96600005625,176.1,60.1,6.71949997535,5.855789533052632,8.238947353736842,188.6,1016.5,-87.6988095238095,1.2246467991473532e-16,-1.0
Amravati,2005,1,7.2289999601999995,16.7,60.1,8.96600005625,6.71949997535,6.10750009405,192.79999999999998,220.49999999999997,-247.0988095238095,1.0,6.123233995736766e-17
Amravati,2005,2,9.745789477631579,147.9,60.1,7.2289999601999995,8.96600005625,5.855789533052632,164.6,353.2,-115.89880952380949,1.2246467991473532e-16,-1.0
Amravati,2005,3,4.86000004095,766.0,60.1,9.745789477631579,7.2289999601999995,6.71949997535,913.9,1106.7,502.2011904761905,-1.0,-1.8369701987210297e-16
Amravati,2005,4,5.21799995005,157.6,60.1,4.86000004095,9.745789477631579,8.96600005625,923.6,1088.2,-106.1988095238095,-2.4492935982947064e-16,1.0
Amravati,2006,1,6.100000005052632,78.4,60.1,5.21799995005,4.86000004095,7.2289999601999995,236.0,1149.9,-185.3988095238095,1.0,6.123233995736766e-17
Amravati,2006,2,7.703157889210526,85.5,60.1,6.100000005052632,5.21799995005,9.745789477631579,163.9,1087.5,-178.2988095238095,1.2246467991473532e-16,-1.0
Amravati,2006,3,4.3665000193,902.5,60.1,7.703157889210526,6.100000005052632,4.86000004095,988.0,1224.0,638.7011904761905,-1.0,-1.8369701987210297e-16
Amravati,2006,4,4.53349996965,12.0,60.1,4.3665000193,7.703157889210526,5.21799995005,914.5,1078.4,-251.7988095238095,-2.4492935982947064e-16,1.0
Amravati,2007,1,5.6924999952999995,2.2,60.1,4.53349996965,4.3665000193,6.100000005052632,14.2,1002.2000000000002,-261.5988095238095,1.0,6.123233995736766e-17
Amravati,2007,2,7.9320000174,159.6,60.1,5.6924999952999995,4.53349996965,7.703157889210526,161.79999999999998,1076.3000000000002,-104.1988095238095,1.2246467991473532e-16,-1.0
Amravati,2007,3,3.3289999612,868.5,60.1,7.9320000174,5.6924999952999995,4.3665000193,1028.1,1042.3000000000002,604.7011904761905,-1.0,-1.8369701987210297e-16
Amravati,2007,4,4.1389999777,14.2,60.1,3.3289999612,7.9320000174,4.53349996965,882.7,1044.5,-249.5988095238095,-2.4492935982947064e-16,1.0
Amravati,2008,1,5.50250004235,11.600000000000001,60.1,4.1389999777,3.3289999612,5.6924999952999995,25.8,1053.9,-252.1988095238095,1.0,6.123233995736766e-17
Amravati,2008,2,7.3119999768,141.4,60.1,5.50250004235,4.1389999777,7.9320000174,153.0,1035.7,-122.39880952380949,1.2246467991473532e-16,-1.0
Amravati,2008,3,4.77700000005,688.5,60.1,7.3119999768,5.50250004235,3.3289999612,829.9,855.7000000000002,424.7011904761905,-1.0,-1.8369701987210297e-16
Amravati,2008,4,5.8994999766500005,32.6,60.1,4.77700000005,7.3119999768,4.1389999777,721.1,874.1000000000001,-231.1988095238095,-2.4492935982947064e-16,1.0
Amravati,2009,1,6.2110000372,3.3,60.1,5.8994999766500005,4.77700000005,5.50250004235,35.9,865.8000000000002,-260.4988095238095,1.0,6.123233995736766e-17
Amravati,2009,2,8.507368439210527,62.9,60.1,6.2110000372,5.8994999766500005,7.3119999768,66.19999999999999,787.3000000000001,-200.8988095238095,1.2246467991473532e-16,-1.0
Amravati,2009,3,5.847894737631579,855.7,60.1,8.507368439210527,6.2110000372,4.77700000005,918.6,954.5000000000001,591.9011904761905,-1.0,-1.8369701987210297e-16
Amravati,2009,4,5.552000033800001,175.8,60.1,5.847894737631579,8.507368439210527,5.8994999766500005,1031.5,1097.7,-87.99880952380948,-2.4492935982947064e-16,1.0
Amravati,2010,1,5.84400006525,9.0,60.1,5.552000033800001,5.847894737631579,6.2110000372,184.8,1103.4,-254.7988095238095,1.0,6.123233995736766e-17
Amravati,2010,2,8.328000020900001,156.6,60.1,5.84400006525,5.552000033800001,8.507368439210527,165.6,1197.1000000000001,-107.1988095238095,1.2246467991473532e-16,-1.0
Amravati,2010,3,3.765789483736842,1065.5,60.1,8.328000020900001,5.84400006525,5.847894737631579,1222.1,1406.9,801.7011904761905,-1.0,-1.8369701987210297e-16
Amravati,2010,4,4.897368418526315,80.4,60.1,3.765789483736842,8.328000020900001,5.552000033800001,1145.9,1311.5000000000002,-183.3988095238095,-2.4492935982947064e-16,1.0
Amravati,2011,1,5.05499997735,4.6000000000000005,60.1,4.897368418526315,3.765789483736842,5.84400006525,85.0,1307.1000000000001,-259.1988095238095,1.0,6.123233995736766e-17
Amravati,2011,2,7.477777851777778,121.89999999999999,60.1,5.05499997735,4.897368418526315,8.328000020900001,126.49999999999999,1272.4,-141.89880952380952,1.2246467991473532e-16,-1.0
Amravati,2011,3,3.789473690421053,819.9,60.1,7.477777851777778,5.05499997735,3.765789483736842,941.8,1026.8,556.1011904761905,-1.0,-1.8369701987210297e-16
Amravati,2011,4,4.53999994985,1.6,60.1,3.789473690421053,7.477777851777778,4.897368418526315,821.5,948.0,-262.1988095238095,-2.4492935982947064e-16,1.0
Amravati,2012,1,5.31250000005,2.4,60.1,4.53999994985,3.789473690421053,5.05499997735,4.0,945.8,-261.3988095238095,1.0,6.123233995736766e-17
Amravati,2012,2,8.683333343777779,72.8,60.1,5.31250000005,4.53999994985,7.477777851777778,75.2,896.6999999999999,-190.99880952380948,1.2246467991473532e-16,-1.0
Amravati,2012,4,5.22149997945,37.6,60.1,8.683333343777779,5.31250000005,3.789473690421053,110.4,114.4,-226.1988095238095,-2.4492935982947064e-16,1.0
Amravati,2013,1,5.972500002249999,9.2,60.1,5.22149997945,8.683333343777779,4.53999994985,46.8,122.0,-254.5988095238095,1.0,6.123233995736766e-17
Amravati,2013,2,7.897368405894736,385.5,60.1,5.972500002249999,5.22149997945,5.31250000005,394.7,505.1,121.7011904761905,1.2246467991473532e-16,-1.0
Amravati,2013,3,3.1450000047,1037.8,60.1,7.897368405894736,5.972500002249999,8.683333343777779,1423.3,1470.1,774.0011904761905,-1.0,-1.8369701987210297e-16
Amravati,2013,4,3.53400001525,105.89999999999999,60.1,3.1450000047,7.897368405894736,5.22149997945,1143.7,1538.4,-157.89880952380952,-2.4492935982947064e-16,1.0
Amravati,2014,1,4.85999997835,35.7,60.1,3.53400001525,3.1450000047,5.972500002249999,141.6,1564.8999999999999,-228.0988095238095,1.0,6.123233995736766e-17
